,LPS,PG,Glucose,NAD,NADH,ADP,ATP,nitrate,amino acids,RNA,precursor,e-,Hydrogen,Oxygen,nitrite,PMF,DNA,RNAstrand,peptides,CellWallIntegrity,nucleotides,Genome
CellMaintenance,,,,,,,,,,,,,,,,,,,,,,
DNARepair,0,0,0,0,0,4,-4,0,0,0,-4,0,0,0,0,0,0,0,0,0,0,1
~,,,,,,,,,,,,,,,,,,,,,,
CellWall,,,,,,,,,,,,,,,,,,,,,,
WallSynthesis,-1,-1,0,0,0,2,-2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
WallDecay,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0
~,,,,,,,,,,,,,,,,,,,,,,
Metabolism,,,,,,,,,,,,,,,,,,,,,,
AAsynthesis,0,0,0,0,0,1,-1,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0
RnaSynthesis,0,0,0,0,0,1,-1,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0
PrecursorSynthesis,0,0,-1,0,0,1,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
WallComponents,1,1,0,0,0,1,-1,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0
ATPhydrolysis,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gluconeogenesis,0,0,1,0,0,1,-1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
ADPsynthesis,0,0,0,0,0,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
NucleotideSynthesis,0,0,0,0,0,1,-1,0,0,0,-1,0,0,0,0,0,0,0,0,0,1,0
~,,,,,,,,,,,,,,,,,,,,,,
ProteinSynthesis,,,,,,,,,,,,,,,,,,,,,,
ProteinSynthesis,0,0,0,0,0,20,-20,0,-20,0,0,0,0,0,0,0,0,-1,20,0,0,0
RNAsynthesis,0,0,0,0,0,20,-20,0,0,-20,0,0,0,0,0,0,0,1,0,0,0,0
DNAsynthesis,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,1,0,-1,0,-1,0
~,,,,,,,,,,,,,,,,,,,,,,
Replication,,,,,,,,,,,,,,,,,,,,,,
Replicate,-10,-10,0,0,0,10,-10,0,0,0,0,0,0,0,0,0,-10,0,0,0,0,0
~,,,,,,,,,,,,,,,,,,,,,,
Respitation,,,,,,,,,,,,,,,,,,,,,,
ElectronTransportChain,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Gly_TCA,0,0,-1,-12,12,0,0,0,0,0,0,0,-12,0,0,0,0,0,0,0,0,0
OxidativePhosphorylation,0,0,0,0,0,-1,1,0,0,0,0,0,2,0,0,-1,0,0,0,0,0,0
~,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
